FileConf	FileName.x	TotalReads	Configuration.x	FwdRev	OTUID	variable	value	FileName.y	Configuration.y	Normalized	Isolate
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5005	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	121	SRR1700598	trim50_synthetic16S	3.66666666666667	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5501	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	59	SRR1700598	trim50_synthetic16S	1.78787878787879	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5502	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	29	SRR1700598	trim50_synthetic16S	0.878787878787879	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec6001	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	124	SRR1700598	trim50_synthetic16S	3.75757575757576	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ga5501	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	72	SRR1700598	trim50_synthetic16S	2.18181818181818	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Tb5501	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR1700598	trim50_synthetic16S	0	SRR1700598
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Bv5501	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	5	SRR4140225_1	trim50_synthetic16S	0.102040816326531	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ca5501	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	83	SRR4140225_1	trim50_synthetic16S	1.69387755102041	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5001	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR4140225_1	trim50_synthetic16S	0.0204081632653061	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5002	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR4140225_1	trim50_synthetic16S	0	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5003	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR4140225_1	trim50_synthetic16S	0	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5004	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR4140225_1	trim50_synthetic16S	0.0204081632653061	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5005	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR4140225_1	trim50_synthetic16S	0.0204081632653061	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5501	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR4140225_1	trim50_synthetic16S	0	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec5502	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR4140225_1	trim50_synthetic16S	0	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ec6001	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	3	SRR4140225_1	trim50_synthetic16S	0.0612244897959184	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Ga5501	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	35	SRR4140225_1	trim50_synthetic16S	0.714285714285714	SRR4140225
SRR4140225_1_trim50_synthetic16S	SRR4140225_1	4610293	trim50_synthetic16S	foward	Tb5501	SRR4140225_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1688	SRR4140225_1	trim50_synthetic16S	34.4489795918367	SRR4140225
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Bv5501	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ca5501	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR5327338	trim50_synthetic16S	0.025	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5001	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5002	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
SRR5327338_trim50_synthetic16S	SRR5327338	43192	trim50_synthetic16S	singleend	Ec5003	SRR5327338.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR5327338	trim50_synthetic16S	0	SRR5327338
